_full_city,18-24,25-34,35-44,45-54,55-64,65 or over,under 18
"Akron, OH, United States",91463.41463414635,144817.07317073172,96892.445799458,97520.32520325202,80792.68292682926,,
"Albany, NY, United States",62926.33228840126,94493.6275862069,116115.63218390805,118068.96551724139,103448.27586206897,,
"Albuquerque, NM, United States",75122.90076335879,113829.51653944021,112790.3008531657,148358.7786259542,74888.0407124682,,
"Anchorage, AK, United States",,94685.46637744035,104432.39334779466,82853.03687635575,,,
"Ann Arbor, MI, United States",96904.44145356663,89379.28776690555,111438.2842009291,127270.14035762355,88649.61866307764,,
"Atlanta, GA, United States",80397.86951830339,107997.35381998328,151312.62600811943,138481.72824550778,128253.80577427821,226596.67541557306,
"Austin, TX, United States",102852.86935286935,137787.09648372428,168338.175270108,155711.2727173124,131746.03174603175,,
"Baltimore, MD, United States",77762.61937244202,103334.58390177353,127833.7083252978,112526.79789514715,117106.16395882425,,
"Baton Rouge, LA, United States",,90052.45811590222,95581.57099697884,148036.25377643504,121238.67069486403,,
"Bellingham, WA, United States",40891.21887287025,77256.44386194846,189613.36828309306,114460.4630843163,,,
"Bend, OR, United States",,49856.884057971016,60386.47342995169,60289.85507246377,,,
"Birmingham, AL, United States",68948.81889763779,76461.94225721784,124465.0043744532,148950.13123359578,70603.67454068242,,
"Boise, ID, United States",102685.62401263823,85663.87882167085,162458.6853492685,83654.55502896261,,126382.30647709321,
"Boston, MA, United States",73373.55356476297,108353.96098807426,123616.53591021904,151609.81967023207,144937.1407241508,195968.6450167973,32609.18253079507
"Buffalo, NY, United States",58573.38820301782,74343.78478653189,101005.56765916242,88377.00045724736,113854.5953360768,,
"Charleston, SC, United States",,102798.55915766141,94694.51371571072,114401.49625935164,84788.02992518703,,
"Charlotte, NC, United States",84127.0976616231,120861.55391367339,126773.93926568616,120021.2579717394,94750.1146263182,,
"Chattanooga, TN, United States",,104254.20347677403,158040.75235109718,152933.2736229288,,,
"Chicago, IL, United States",77583.10685613417,113108.2656028852,141159.83198481705,131219.3090832814,125533.49917081259,86774.46102819237,
"Cincinnati, OH, United States",81201.25786163521,113567.05535372475,135635.099177552,110411.05121293801,72327.04402515723,157232.70440251572,
"Cleveland, OH, United States",72720.72754831376,106415.04223521768,120580.0418358558,121129.48265726044,93565.7596371882,,
"Colorado Springs, CO, United States",75675.23680649526,100252.64666082941,96681.21335137573,79566.98240866035,94046.00811907984,,
"Columbus, OH, United States",76118.81962087161,90114.4083725379,99223.92302458033,125673.1874145007,113999.08800729596,,
"Dallas, TX, United States",90445.23072248723,133197.10539537415,163974.85352317567,221334.67903121762,131817.8687664451,,
"Denver, CO, United States",79290.54054054053,115735.37156473786,140506.31194398404,148158.47665847666,136854.10334346505,,143243.24324324323
"Des Moines, IA, United States",85039.38609467457,107483.50961561665,139360.47606239916,111267.258382643,122781.06508875743,,
"Detroit, MI, United States",79866.09277857484,134168.62103763816,139356.31470782115,163462.4581539933,,,
"El Paso, TX, United States",,123398.16513761468,88073.39449541285,,,,
"Eugene, OR, United States",56800.39623576028,52213.96731054978,96392.07528479445,130396.94332413502,,200891.53046062408,
"Everett, WA, United States",69828.72200263504,73627.14097496704,128606.0606060606,157334.21168203774,127799.73649538864,,
"Fort Lauderdale, FL, United States",,103628.53628536286,74210.74210742107,166051.66051660516,131611.31611316113,,
"Fort Worth, TX, United States",59912.536443148696,108041.46420472952,115608.91295293628,82673.88588088297,157541.24701828783,,
"Fremont, CA, United States",,103911.9804400978,80073.34963325184,55893.64303178485,,,
"Fresno, CA, United States",80649.92614475627,94156.20384047266,172634.85967503692,167282.1270310192,121861.15214180206,,
"Honolulu, HI, United States",55265.90198123044,63924.54261067398,97337.45737395372,70125.13034410843,,,
"Houston, TX, United States",84114.069591528,121364.55260813495,155567.75957943994,156664.01916288454,179524.78698041334,,
"Huntsville, AL, United States",,530236.6863905326,130769.2307692308,169644.6153846154,117692.30769230769,80000.0,
"Indianapolis, IN, United States",77470.88033473479,115737.10131332083,127860.96290650406,118184.31756085444,231707.31707317074,,
"Irvine, CA, United States",68276.51515151515,114981.0606060606,123914.67304625198,161826.5993265993,230470.45454545453,,
"Jacksonville, FL, United States",69064.74820143885,95383.30935251797,126495.92326139088,154735.0119904077,143165.46762589927,,
"Jersey City, NJ, United States",,118778.44311377243,136287.42514970058,149700.5988023952,,,
"Kansas City, MO, United States",58055.15239477503,99728.05155023874,130545.16813665871,109760.12608539028,172389.69521044992,,
"Knoxville, TN, United States",49895.05247376311,77120.63968015992,99736.13193403298,134582.70864567716,109574.21289355322,82458.77061469265,
"Las Vegas, NV, United States",78374.4557329463,85227.40448397252,125070.52225037513,87808.41799709723,92046.44412191582,,
"Lexington, KY, United States",78039.86710963455,86311.81775035596,89149.73896535358,134551.4950166113,155038.75968992247,,
"Lincoln, NE, United States",,121853.19865319865,99383.5390946502,53957.03703703704,26666.666666666664,,
"Little Rock, AR, United States",,97322.20455749868,108513.28639563934,104004.76947535771,142766.2957074722,,
"Long Beach, CA, United States",,114959.12806539508,135794.2779291553,111035.42234332424,366485.0136239782,,
